title,price_raw,star_rating_raw,availability_raw,detail_url,category
"We Love You, Charlie Freeman",£50.27,Five,In stock,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,Fiction
Untitled Collection: Sabbath Poems 2014,£14.27,Four,In stock,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four,In stock,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,Nonfiction
Unicorn Tracks,£18.78,Three,In stock,http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One,In stock,http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One,In stock,http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three,In stock,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,Nonfiction
This One Summer,£19.49,Four,In stock,http://books.toscrape.com/catalogue/this-one-summer_947/index.html,Sequential Art
Thirst,£17.27,Five,In stock,http://books.toscrape.com/catalogue/thirst_946/index.html,Fiction
The Torch Is Passed: A Harding Family Story,£19.09,One,In stock,http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,Add a comment
The Secret of Dreadwillow Carse,£56.13,One,In stock,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,One,In stock,http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,Food and Drink
The Past Never Ends,£56.50,Four,In stock,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,Mystery
The Natural History of Us (The Fine Art of Pretending #2),£45.22,Three,In stock,http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,Young Adult
The Nameless City (The Nameless City #1),£38.16,Four,In stock,http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,Sequential Art
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,In stock,http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,Four,In stock,http://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,Four,In stock,http://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,Three,In stock,http://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,Five,In stock,http://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,One,In stock,http://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,One,In stock,http://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,Nonfiction
The Death of Humanity: and the Case for Life,£58.11,Four,In stock,http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,Philosophy
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,Three,In stock,http://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,Health
The Art Forger,£40.76,Three,In stock,http://books.toscrape.com/catalogue/the-art-forger_930/index.html,Add a comment
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,One,In stock,http://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,History
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,Five,In stock,http://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,Four,In stock,http://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,Nonfiction
Soul Reader,£39.58,Two,In stock,http://books.toscrape.com/catalogue/soul-reader_926/index.html,Default
Security,£39.25,Two,In stock,http://books.toscrape.com/catalogue/security_925/index.html,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Three,In stock,http://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,Two,In stock,http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,Two,In stock,http://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,Three,In stock,http://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,Five,In stock,http://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),£13.34,Five,In stock,http://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,Fantasy
"Pop Gun War, Volume 1: Gift",£18.97,One,In stock,http://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,Two,In stock,http://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,History
Patience,£10.16,Three,In stock,http://books.toscrape.com/catalogue/patience_916/index.html,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,Four,In stock,http://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,One,In stock,http://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,One,In stock,http://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,Self Help
On a Midnight Clear,£14.07,Three,In stock,http://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,Add a comment
Obsidian (Lux #1),£14.86,Two,In stock,http://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,Young Adult
My Paris Kitchen: Recipes and Stories,£33.37,Two,In stock,http://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,Food and Drink
Masks and Shadows,£56.40,Two,In stock,http://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,Four,In stock,http://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,Two,In stock,http://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,Three,In stock,http://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,Two,In stock,http://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,One,In stock,http://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,Two,In stock,http://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,Add a comment
Join,£35.67,Five,In stock,http://books.toscrape.com/catalogue/join_902/index.html,Science Fiction
In the Country We Love: My Family Divided,£22.00,Four,In stock,http://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,Nonfiction
